12	5	60
4	8	358
15	17	741
13	5	717
5	5	737
5	5	752
4	13	663
5	5	752
4	13	1162
4	13	1001
14	2	1311
2	0	1697
14	2	1775
15	0	1832
13	5	1992
13	5	1992
2	5	2044
10	15	2043
15	17	2036
4	17	2109
4	16	2190
13	6	2303
4	17	2304
4	8	2304
0	8	2473
4	15	2606
10	13	2557
13	4	3308
13	5	3299
15	2	3356
5	7	3353
5	7	3353
14	2	3574
6	17	3696
6	17	3696
15	17	3818
12	5	3852
12	5	3861
15	2	4004
14	3	4139
4	13	4085
4	13	4076
15	2	4220
15	2	4220
14	2	4235
15	2	4122
5	8	4570
5	8	4570
6	4	4839
1	2	4496
15	2	4932
15	2	4932
15	2	5160
2	7	5478
6	7	5704
5	11	5700
2	8	5759
1	0	5882
1	0	5861
4	17	5982
13	5	6052
4	15	6059
0	0	5974
4	7	6152
4	7	6152
4	12	6229
15	0	6402
15	0	6409
2	1	6565
15	0	6407
1	17	6605
1	2	6796
13	5	7388
13	5	7699
15	2	8022
2	1	8037
2	1	8037
10	5	8030
10	5	8030
8	11	8124
4	15	8197
4	15	8217
4	15	8224
1	17	8229
4	15	8233
4	15	8243
10	9	8371
7	10	8515
15	2	8594
10	9	8989
4	2	9010
8	11	9276
4	17	9615
4	8	9782
9	9	9605
7	11	9863
8	11	9961
2	8	10008
2	1	10066
2	2	10326
1	1	10238
15	4	10505
15	2	10541
14	11	10685
15	2	10765
14	2	10832
14	2	10832
4	15	10838
4	15	10838
10	11	10807
15	2	11169
14	2	11271
4	12	11361
4	13	11369
4	13	11369
14	2	11435
4	3	9182
11	13	11582
10	11	11660
15	2	12195
15	2	12314
15	2	12558
15	2	12557
15	2	12558
4	7	12755
1	3	12995
12	7	13386
5	5	13559
15	4	13833
15	5	13829
4	7	14072
6	15	14389
4	2	14636
2	2	14737
4	11	14653
4	7	14779
4	2	14760
7	13	14993
13	11	15736
13	5	15986
4	13	16226
4	11	16221
5	5	16424
5	5	16708
5	10	16793
13	16	17013
8	7	17098
1	2	17161
4	0	17808
5	9	17466
5	11	17946
13	5	18171
12	13	17964
10	13	18116
5	5	18240
10	11	18289
12	11	18265
10	16	18413
10	11	18310
8	9	18626
8	11	18817
10	15	18964
10	15	19123
13	11	19469
15	5	19461
8	16	19593
12	13	19553
5	5	19708
1	0	19646
12	11	19567
10	15	19926
9	11	19940
5	2	20467
8	8	20691
2	7	20697
13	15	20515
4	14	20612
5	2	20814
1	7	21023
10	5	20981
11	5	20995
5	1	21225
13	8	21324
4	11	21217
10	7	21620
12	11	21759
5	5	21817
10	4	21816
6	16	21870
4	13	22028
15	5	22723
10	5	22752
6	15	23444
3	17	23674
10	11	23721
4	15	23762
10	13	24168
6	5	24670
10	5	24681
12	11	25032
4	7	25033
10	7	24985
5	11	25076
5	11	25311
4	13	25408
8	16	25605
2	8	26710
14	9	26893
6	17	27446
15	1	27747
13	11	27858
2	3	28059
15	5	28062
10	16	28244
8	5	28960
8	5	28980
4	16	29903
8	8	30351
10	11	30355
13	7	30988
12	11	31097
5	11	31199
13	11	31245
10	5	31654
4	15	31921
5	16	32120
13	7	32882
12	7	33739
12	7	33750
4	7	33987
4	7	33987
4	13	33997
5	11	34200
13	11	34227
5	13	34241
5	13	34255
6	16	34809
10	7	35001
10	7	35001
5	16	35480
5	16	35480
13	5	35992
13	5	36154
13	7	36502
12	5	36621
14	15	36586
4	16	37118
8	8	37596
13	5	38621
15	5	38699
4	15	39290
13	11	39698
12	17	40288
12	17	40288
12	17	40288
13	4	40680
13	5	40689
14	13	40959
13	4	40719
13	3	40719
13	4	40719
1	4	41061
2	8	41038
14	13	40959
6	17	42278
2	0	42340
15	5	42435
13	5	42601
13	5	42604
12	5	43310
4	15	43357
10	15	43527
15	5	43953
4	15	44197
5	5	44308
5	5	44304
13	5	44329
10	13	44869
13	5	45243
2	8	45522
4	15	45821
14	5	45719
10	5	45979
13	5	46206
13	5	46206
6	1	46868
13	5	47716
5	1	47891
5	8	47891
1	7	48249
15	4	48219
15	4	48224
2	4	48765
13	11	49663
13	11	50497
12	4	51190
6	15	51473
4	5	51735
6	7	52429
13	8	52406
13	4	52543
12	11	53266
12	4	53266
4	8	53424
13	11	53503
2	8	53841
2	8	53838
2	17	53912
6	15	53878
2	17	53952
6	5	54022
6	5	54022
2	5	54049
14	8	54133
5	3	54220
15	0	54562
2	8	54534
1	0	54657
14	3	54572
3	5	54737
1	1	54791
1	1	54791
13	5	54871
13	5	54984
14	11	55128
14	16	55130
14	16	55130
9	10	55011
3	13	55302
13	5	55333
6	5	55401
14	5	55587
6	5	55734
15	8	55829
15	8	55829
6	16	56106
2	17	56213
6	3	56181
6	3	56181
13	5	56588
6	0	56613
0	8	56419
14	5	56955
3	5	57014
3	5	57011
14	4	57182
1	3	57205
3	15	57175
14	4	57182
13	11	57526
2	17	56101
13	5	57611
2	5	57415
2	5	57415
3	5	57635
3	5	57726
2	5	57688
2	5	57729
