10	7	1335
5	8	1587
6	7	2204
6	7	2211
6	7	2204
5	4	2871
2	5	3285
4	7	3954
6	7	4549
5	5	4800
4	7	7270
5	8	7497
6	11	8345
10	16	12628
8	8	15698
10	15	18164
12	15	20515
10	13	20543
14	11	27854
14	13	27898
10	16	28321
10	13	29298
13	8	30538
6	16	32431
13	8	32668
6	17	33496
13	8	34196
14	12	34662
14	12	34652
13	13	37492
15	7	37599
5	11	37812
10	12	38212
10	13	38212
10	7	38222
5	8	38764
6	7	39773
6	7	39773
10	13	39646
10	13	40567
5	5	41171
5	5	41171
4	7	41454
4	7	41454
12	15	41773
13	11	42955
5	5	43331
5	5	43336
13	11	44564
13	11	44564
6	15	44615
10	13	46099
10	11	46099
10	11	46099
11	15	46725
3	17	47046
13	13	46875
4	15	47603
4	15	47603
4	13	47691
4	17	47915
13	11	48066
4	13	48459
12	16	48638
9	7	50330
4	13	50806
10	11	50987
13	8	51794
4	16	52281
4	15	52309
4	15	52316
10	15	52734
11	15	53743
12	16	53837
4	13	53809
11	13	56739
4	13	57617
15	5	57749
11	15	58196
13	13	58420
4	13	59279
14	8	59250
12	15	59886
4	15	60241
5	5	60280
4	13	61807
4	13	62053
4	15	62068
12	7	62387
5	8	62608
3	15	62677
14	13	62463
14	13	62451
4	15	62931
4	12	63604
10	15	63740
6	7	63770
14	5	63992
14	5	63992
5	13	64024
4	15	64261
4	16	64847
4	15	65369
4	15	65630
4	15	65725
14	17	66195
4	15	66232
4	16	66358
12	5	66396
4	15	66782
4	15	66842
15	1	66549
12	12	67109
12	16	67118
2	17	67207
10	15	67237
4	15	67246
4	12	67274
14	5	67532
14	5	67533
6	15	67542
15	11	66549
14	5	67584
11	15	68343
4	7	68398
11	13	68379
4	15	68415
15	13	68464
12	13	68432
14	11	68463
10	15	69093
10	15	69093
4	15	69120
10	15	69236
4	17	69806
3	17	69831
13	5	69804
4	15	70253
4	15	71187
4	7	71918
12	5	72230
4	15	72360
4	15	72375
4	15	72375
13	5	72418
13	5	72922
13	13	72998
4	4	73122
13	4	73216
4	15	73305
4	15	72570
4	17	73948
4	15	73962
4	15	73866
4	17	73972
4	16	74199
13	5	74362
13	5	74362
10	7	74705
11	15	74785
10	15	74772
11	15	74796
12	15	74935
12	15	74935
12	16	74925
5	5	74991
6	16	75013
11	15	75367
3	13	75315
3	13	75315
13	13	75646
4	15	75656
4	15	75742
4	15	76453
4	15	77199
4	15	77442
4	17	77584
11	8	77991
4	13	77999
4	13	78107
11	15	78687
11	15	78701
4	15	78861
4	15	78861
4	13	78908
14	5	79155
14	5	79156
6	12	79474
11	11	79561
4	15	79640
0	3	79757
4	12	79765
15	5	79765
13	16	80058
10	16	80791
4	13	81019
4	17	81108
14	8	81141
10	8	81202
15	3	81403
15	3	81403
4	15	81639
13	15	81640
10	13	81783
13	13	81910
