4	15	18
13	5	126
15	7	415
15	7	415
10	16	792
13	5	857
6	17	1232
13	5	1260
13	8	1388
13	8	1458
6	16	1700
14	11	1807
10	8	1867
15	15	2045
4	15	2126
15	15	2045
6	6	2716
6	6	2716
14	8	3019
13	11	3087
15	5	3324
15	5	3324
10	5	3315
6	15	3582
14	11	3681
12	11	4048
13	5	4252
13	11	4422
4	8	4491
10	15	4752
6	16	4843
6	16	4843
13	5	5342
13	11	5361
4	15	5749
3	15	5757
4	15	5756
13	8	5916
10	13	6020
4	14	6089
14	8	6116
14	8	6116
11	5	6288
3	0	6463
4	11	6566
4	15	7066
13	5	7362
13	5	7397
4	11	7323
13	12	7937
13	11	8008
4	15	8186
4	15	8188
4	15	8328
6	5	8431
2	0	8607
4	7	9219
5	5	9345
5	5	10035
10	5	10021
10	5	10021
10	5	10045
13	5	10127
13	5	10171
13	4	10224
13	5	10430
13	5	10560
8	8	10609
4	15	10912
4	15	10912
10	15	10931
13	5	10987
6	16	10996
14	9	11432
4	11	11699
4	11	11704
13	5	12120
13	5	12337
4	17	12967
13	5	13113
13	5	13146
4	11	13171
4	16	13280
10	5	13314
10	5	13314
10	5	14031
14	11	14286
5	15	14254
13	11	14296
13	13	14285
5	13	14252
12	7	14380
15	5	14588
13	5	15009
4	13	15423
4	13	15435
4	13	15435
13	5	15490
4	7	15996
11	7	16066
5	15	16175
12	11	16756
4	13	16378
4	13	16733
13	5	17241
13	5	17247
13	13	17520
13	5	17566
13	11	17713
4	15	17945
13	5	18130
4	15	18255
13	5	18393
12	5	18470
10	7	18483
4	15	18762
13	5	18902
4	8	18981
5	15	19001
13	11	19070
13	13	19070
12	11	19262
12	11	19271
13	5	19698
13	5	19704
13	5	19873
13	5	19871
13	5	19873
4	15	19968
14	13	19855
4	15	19981
15	13	19860
4	13	20288
4	15	20400
13	4	20393
4	15	20561
4	15	20568
4	15	21387
13	5	21458
4	11	21437
4	11	21437
11	15	21664
12	5	21691
13	5	21884
4	15	22050
15	5	22466
13	5	22825
5	8	22919
4	11	22992
13	5	23538
5	3	23894
6	7	24005
13	11	24474
12	5	24559
13	5	24900
4	15	24986
4	13	25197
13	5	25286
4	13	25286
4	11	25373
5	5	25781
4	13	25980
12	11	26210
12	11	26212
13	5	26391
13	5	26400
6	17	26403
13	5	26479
13	5	26671
13	5	26671
13	5	26678
13	11	27099
4	15	27757
6	15	27756
13	8	28372
12	11	28852
13	8	28824
12	11	28857
6	13	29741
4	15	30216
10	5	30304
13	5	30717
13	5	30717
6	8	30572
13	5	31893
13	5	31901
13	11	32542
13	5	33161
13	8	33692
4	11	34112
13	5	34420
13	5	34420
12	5	34591
13	11	34926
6	11	35092
6	15	35207
14	5	36413
13	5	36702
13	5	37710
13	5	37885
13	5	37897
13	5	37885
10	8	38108
8	8	38124
13	5	38346
4	15	38638
13	5	38849
12	5	39339
12	5	39344
6	11	39740
6	11	39741
13	5	39964
4	15	40108
4	15	40081
12	5	40296
8	8	40349
15	5	40654
13	5	40953
13	5	41274
6	5	41511
13	5	41570
13	5	41570
13	5	41840
0	2	42088
13	5	42122
10	5	42434
15	5	42429
13	5	42562
6	15	42566
13	5	42680
13	5	42671
4	13	42816
4	15	42854
13	11	43021
13	11	43021
13	8	43418
13	5	43490
12	11	43773
12	11	43786
12	5	43766
13	5	43902
13	5	44015
13	11	44041
12	11	42893
4	13	44661
4	13	44661
13	5	44747
13	5	46419
13	7	46829
12	7	46862
12	5	46855
13	11	47260
13	5	47271
12	5	47648
12	5	47648
12	5	47660
10	8	47941
5	5	48027
4	13	48993
4	11	48996
4	11	48996
10	15	49189
13	8	49178
12	5	49631
13	5	49711
6	5	49774
6	5	49777
4	13	49801
10	15	49873
13	5	50318
