FID,New_ID,SUM_area_K,SUM_POP_M_,SUM_POP_F_,SUM_POP_TO,SUM_POP_19,SUM_BRIT_E,SUM_BRIT_I,SUM_BRIT_S,SUM_BRIT_O,SUM_FRENCH,SUM_GERMAN,SUM_AUSTRO,SUM_BELGIA,SUM_BULGAR,SUM_CHINES,SUM_DUTCH_,SUM_GREEK_,SUM_HINDU_,SUM_INDIAN,SUM_ITALIA,SUM_JAPANE,SUM_JEWISH,SUM_NEGRO_,SUM_POLISH,SUM_RUSSIA,SUM_SCANDI,SUM_SWISS_,SUM_UNSPEC,R_CODE
0,AB001000,14554.475634200000000,36991.000000000000000,23511.000000000000000,60502.000000000000000,8362.000000000000000,21429.000000000000000,5996.000000000000000,11648.000000000000000,510.000000000000000,993.000000000000000,3966.000000000000000,1377.000000000000000,88.000000000000000,50.000000000000000,702.000000000000000,314.000000000000000,42.000000000000000,3.000000000000000,878.000000000000000,596.000000000000000,93.000000000000000,632.000000000000000,97.000000000000000,431.000000000000000,968.000000000000000,1505.000000000000000,214.000000000000000,7970.000000000000000,1
1,AB002000,306077.694704000020000,34567.000000000000000,22478.000000000000000,57045.000000000000000,12823.000000000000000,13722.000000000000000,5663.000000000000000,8778.000000000000000,428.000000000000000,7199.000000000000000,5334.000000000000000,2340.000000000000000,393.000000000000000,30.000000000000000,168.000000000000000,447.000000000000000,13.000000000000000,0.000000000000000,3180.000000000000000,231.000000000000000,23.000000000000000,182.000000000000000,575.000000000000000,484.000000000000000,624.000000000000000,2541.000000000000000,108.000000000000000,4582.000000000000000,2
2,AB003000,24466.824705700001000,20516.000000000000000,13988.000000000000000,34504.000000000000000,7856.000000000000000,10570.000000000000000,4331.000000000000000,6668.000000000000000,414.000000000000000,1720.000000000000000,2742.000000000000000,1309.000000000000000,374.000000000000000,28.000000000000000,282.000000000000000,440.000000000000000,9.000000000000000,0.000000000000000,1661.000000000000000,813.000000000000000,23.000000000000000,29.000000000000000,10.000000000000000,89.000000000000000,511.000000000000000,1814.000000000000000,120.000000000000000,547.000000000000000,3
3,AB004000,65879.486166600007000,43724.000000000000000,26882.000000000000000,70606.000000000000000,10804.000000000000000,19431.000000000000000,6610.000000000000000,9411.000000000000000,615.000000000000000,1727.000000000000000,7706.000000000000000,2955.000000000000000,128.000000000000000,27.000000000000000,386.000000000000000,904.000000000000000,40.000000000000000,0.000000000000000,812.000000000000000,292.000000000000000,93.000000000000000,90.000000000000000,17.000000000000000,275.000000000000000,2619.000000000000000,6291.000000000000000,306.000000000000000,9871.000000000000000,4
4,AB005000,54205.701231200001000,37085.000000000000000,24287.000000000000000,61372.000000000000000,10314.000000000000000,17378.000000000000000,7084.000000000000000,9243.000000000000000,654.000000000000000,1717.000000000000000,8441.000000000000000,1112.000000000000000,143.000000000000000,54.000000000000000,140.000000000000000,569.000000000000000,6.000000000000000,0.000000000000000,141.000000000000000,165.000000000000000,5.000000000000000,195.000000000000000,22.000000000000000,156.000000000000000,1909.000000000000000,6335.000000000000000,272.000000000000000,5631.000000000000000,5
5,AB006000,26539.437800700001000,28536.000000000000000,20937.000000000000000,49473.000000000000000,12345.000000000000000,10102.000000000000000,4276.000000000000000,5927.000000000000000,383.000000000000000,2064.000000000000000,6593.000000000000000,2965.000000000000000,98.000000000000000,23.000000000000000,96.000000000000000,176.000000000000000,11.000000000000000,0.000000000000000,816.000000000000000,34.000000000000000,10.000000000000000,319.000000000000000,124.000000000000000,318.000000000000000,1800.000000000000000,8666.000000000000000,112.000000000000000,4560.000000000000000,6
6,AB007000,143276.887894000010000,22570.000000000000000,18591.000000000000000,41161.000000000000000,10518.000000000000000,5323.000000000000000,2779.000000000000000,3209.000000000000000,116.000000000000000,4405.000000000000000,2080.000000000000000,14369.000000000000000,45.000000000000000,744.000000000000000,13.000000000000000,101.000000000000000,8.000000000000000,0.000000000000000,4142.000000000000000,8.000000000000000,0.000000000000000,39.000000000000000,134.000000000000000,490.000000000000000,990.000000000000000,895.000000000000000,68.000000000000000,1203.000000000000000,7
7,BC008000,381792.229202000020000,30969.000000000000000,11294.000000000000000,42263.000000000000000,21457.000000000000000,7043.000000000000000,2958.000000000000000,5532.000000000000000,394.000000000000000,797.000000000000000,1141.000000000000000,832.000000000000000,127.000000000000000,78.000000000000000,2665.000000000000000,94.000000000000000,138.000000000000000,127.000000000000000,10006.000000000000000,1142.000000000000000,2215.000000000000000,49.000000000000000,34.000000000000000,42.000000000000000,1139.000000000000000,2848.000000000000000,79.000000000000000,2783.000000000000000,8
8,BC009000,73211.406194299998000,33974.000000000000000,16798.000000000000000,50772.000000000000000,31962.000000000000000,14551.000000000000000,5595.000000000000000,8306.000000000000000,576.000000000000000,1793.000000000000000,2044.000000000000000,3123.000000000000000,128.000000000000000,16.000000000000000,1340.000000000000000,206.000000000000000,42.000000000000000,399.000000000000000,552.000000000000000,3181.000000000000000,436.000000000000000,18.000000000000000,67.000000000000000,230.000000000000000,2635.000000000000000,3146.000000000000000,90.000000000000000,2298.000000000000000,9
9,BC010000,6926.367770380000400,39213.000000000000000,24269.000000000000000,63482.000000000000000,43212.000000000000000,30140.000000000000000,4383.000000000000000,11422.000000000000000,1040.000000000000000,716.000000000000000,1117.000000000000000,489.000000000000000,240.000000000000000,12.000000000000000,6399.000000000000000,88.000000000000000,99.000000000000000,230.000000000000000,55.000000000000000,1003.000000000000000,512.000000000000000,158.000000000000000,76.000000000000000,12.000000000000000,617.000000000000000,1243.000000000000000,96.000000000000000,3335.000000000000000,10
