"FID_","FIPSSTCO","TRT2000","STFID","OID_","SCTRACTW","FIPSPLACEW","CENSUSPLW","SCTRACTR","FIPSPLACER","CENSUCPLR","TRACTTOTRA","STFID_1","ID_ID","Distance"
,"11001","003100","11001003100",1401,51059460500.0000,79952,1252,11001003100.0000,50000,5,4,"11001003100",7118.000000,0.001118
,"11001","003000","11001003000",1400,51059460500.0000,79952,1252,11001003000.0000,50000,5,10,"11001003000",7119.000000,0.003654
,"11001","003600","11001003600",270,51059471200.0000,79952,1252,11001003600.0000,50000,5,10,"11001003600",7143.000000,0.004235
,"11001","003500","11001003500",2162,51059480200.0000,79952,1252,11001003500.0000,50000,5,10,"11001003500",7144.000000,0.000932
,"11001","004400","11001004400",6,51059471200.0000,48376,772,11001004400.0000,50000,5,4,"11001004400",7148.000000,0.003434
,"11001","003400","11001003400",2161,51059480200.0000,79952,1252,11001003400.0000,50000,5,10,"11001003400",7160.000000,0.004420
,"11001","003302","11001003302",1402,51059460500.0000,79952,1252,11001003302.0000,50000,5,4,"11001003302",7198.000000,0.001962
,"11001","009203","11001009203",2204,51059480200.0000,79952,1252,11001009203.0000,50000,5,30,"11001009203",7202.000000,0.003530
,"11001","000202","11001000202",737,51059460400.0000,79952,1252,11001000202.0000,50000,5,4,"11001000202",7221.000000,0.001050
,"11001","000100","11001000100",260,51059471200.0000,79952,1252,11001000100.0000,50000,5,10,"11001000100",7235.000000,0.002049
,"11001","005600","11001005600",753,51059460400.0000,79952,1252,11001005600.0000,50000,5,10,"11001005600",7265.000000,0.000675
,"11001","005500","11001005500",1233,51059460500.0000,23984,423,11001005500.0000,50000,5,10,"11001005500",7274.000000,0.003689
,"11001","005401","11001005401",1412,51059460500.0000,79952,1252,11001005401.0000,50000,5,10,"11001005401",7292.000000,0.001581
,"11001","005302","11001005302",2174,51059480200.0000,79952,1252,11001005302.0000,50000,5,4,"11001005302",7332.000000,0.001661
,"11001","005201","11001005201",7,51059471200.0000,48376,772,11001005201.0000,50000,5,10,"11001005201",7341.000000,0.002227
,"11001","005301","11001005301",752,51059460400.0000,79952,1252,11001005301.0000,50000,5,15,"11001005301",7341.000000,0.002324
,"11001","005202","11001005202",1410,51059460500.0000,79952,1252,11001005202.0000,50000,5,4,"11001005202",7356.000000,0.001316
,"11001","005000","11001005000",2034,51059480200.0000,48376,772,11001005000.0000,50000,5,10,"11001005000",7430.000000,0.002473
,"11001","004902","11001004902",1408,51059460500.0000,79952,1252,11001004902.0000,50000,5,4,"11001004902",7440.000000,0.000423
,"11001","004700","11001004700",2170,51059480200.0000,79952,1252,11001004700.0000,50000,5,30,"11001004700",7530.000000,0.001023
,"11001","006001","11001006001",1414,51059460500.0000,79952,1252,11001006001.0000,50000,5,10,"11001006001",7620.000000,0.000074
,"11001","007302","11001007302",1419,51059460500.0000,79952,1252,11001007302.0000,50000,5,10,"11001007302",7648.000000,0.004311
,"11001","007301","11001007301",276,51059471200.0000,79952,1252,11001007301.0000,50000,5,4,"11001007301",7652.000000,0.012295
,"11001","009807","11001009807",1430,51059460500.0000,79952,1252,11001009807.0000,50000,5,10,"11001009807",7652.000000,0.003333
,"11001","009808","11001009808",764,51059460400.0000,79952,1252,11001009808.0000,50000,5,4,"11001009808",7669.000000,0.004069
,"11001","002202","11001002202",266,51059471200.0000,79952,1252,11001002202.0000,50000,5,4,"11001002202",7700.000000,0.000837
,"11001","009509","11001009509",283,51059471200.0000,79952,1252,11001009509.0000,50000,5,4,"11001009509",7701.000000,0.001600
,"11001","009503","11001009503",1235,51059460500.0000,23984,423,11001009503.0000,50000,5,10,"11001009503",7711.000000,0.000088
